GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
docencia-notes,com.docencia,Application,5,3,0,0,2,1,1,1,1,1
docencia-notes,com.docencia.hotel.persistence.jpa,HotelJpaRepository,3,23,0,0,1,8,1,5,1,5
docencia-notes,com.docencia.hotel.persistence.jpa,GuestJpaRepository,3,23,0,0,1,8,1,5,1,5
docencia-notes,com.docencia.hotel.persistence.jpa,BookingJpaRepository,3,39,0,0,1,13,1,6,1,6
docencia-notes,com.docencia.hotel.persistence.jpa,AbstractJpaRepository,17,38,1,3,4,9,3,5,2,4
docencia-notes,com.docencia.hotel.persistence.jpa,RoomJpaRepository,3,33,0,0,1,11,1,6,1,6
docencia-notes,com.docencia.hotel.domain.model,Guest,73,31,4,0,26,14,10,9,8,9
docencia-notes,com.docencia.hotel.domain.model,Room,113,37,4,0,39,16,16,9,14,9
docencia-notes,com.docencia.hotel.domain.model,Booking,135,38,14,0,30,17,16,11,9,11
docencia-notes,com.docencia.hotel.domain.model,Hotel,94,29,4,0,31,12,13,7,11,7
